Artist,Title,Lyrics
Dr. Bériz,Polygame,"18 ContributorsPolygame Lyrics[Paroles de ""Polygame"" ft. Dr Bériz]

[Intro : Lartiste & Dr Bériz]
O.K, eh, eh
Lartiste baby
Continue
Purple Money
Polygame, polygame
Polygame, polygame
Polygame, polygame
Polygame, polygame
Polygame, polygame
Polygame, polygame

[Couplet 1 : Lartiste]
J’suis polygame (abusé)
C’est mon malheur (abusé)
J’aime trop les femmes (abusé)
C’est mon malheur (abusé)
Même vous mesdames (vous vous amusez)
Polygame (abusé)
Pas d’amalgame (abusé)
Polygame (abusé)
Polygame (j’ai la fusée)

[Pré-refrain : Lartiste]
Fatigué de chercher la bonne
C’que j’ai pas chez l’une, je l’ai chez l’autre
Elle ne veut que le sexe et la somme
Si l’amour est mort c’est pas de ma faute
Elle aime collectionner les hommes
Trois numéros d’téléphone
« Allô chéri ? », rien que ça sonne
Cyclone en vue quand elle est dans la zone
You might also like[Refrain : Lartiste]
Polygame (polygame), polygame (polygame)
Polygame (polygame), polygame (polygame)
Polygame (polygame), polygame (polygame)
Polygame (polygame), polygame
Polygame (yeah-yeah, yeah-yeah)
Oui mesdames (yeah-yeah, yeah-yeah)

[Couplet 2 : Lartiste]
Connexion, toi et moi : connexion
Bamono au soleil : déconnexions
Ma main sur ton crâne je relâche la pression (bang)
Donne-toi ma chérie faut pas te cacher (wouh)
Ton boule est chargé tout comme ton passé (wouh)
Tu n’es pas la seule non faut pas te fâcher
T’es fan de moi mais tu vas te lasser

[Pré-refrain : Lartiste]
Fatigué de chercher la bonne
C’que j’ai pas chez l’une, je l’ai chez l’autre
Elle ne veut que le sexe et la somme
Si l’amour est mort c’est pas de ma faute
Elle aime collectionner les hommes
Trois numéros d’téléphone
« Allô chéri ? », rien que ça sonne
Cyclone en vue quand elle est dans la zone
[Refrain : Lartiste]
Polygame (polygame), polygame (polygame)
Polygame (polygame), polygame (polygame)
Polygame (polygame), polygame (polygame)
Polygame (polygame), polygame
Polygame (yeah-yeah, yeah-yeah)
Oui mesdames (yeah-yeah, yeah-yeah)

[Pont : Dr Beriz & Lartiste]
Ah, mais elles sont ou ces femmes là quand t’as besoin d’elles ? (Polygame)
Fatoumata, Kayma, (polygame) eh appelle Mélanie là, elles sont où ? (polygame)
Elles sont trop
Ah, Polygame (polygame) même, on t’a dit

[Couplet 3 : Dr Bériz]
Bienvenue chez les hommes polygames
Elles connaissent la règle
Laisse-moi t’faire visiter Paris-centre
Bienvenue chez les hommes polygames
Elles connaissent la règle
Laisse-moi t’faire visiter Paris-centre
J’sais plus où donner d’la tête mon gars
Elles sont toutes pas mal
Africaines, Européennes, Antillaises
De l’Asie ou République Dominicaine
Laisse-moi faire le plein pour le week-end
Jeune Obama on m’appelle “Yes We Can”
[Refrain : Lartiste]
Polygame, polygame
Polygame, polygame
Polygame, polygame
Polygame, polygame
Polygame
Oui mesdames12Embed"
Dr. Bériz,J’suis pas dans le game,"29 ContributorsJ’suis pas dans le game Lyrics[Paroles de ""J’suis pas dans le game"" ft. Dr Bériz]

[Refrain : Maître Gims]
Je n'aurai jamais la force d'un X-Men, donc je sors des mixtapes
J'suis ce gosse en manque d'affection qu'on voit souvent dans les films de science-fiction
We-We-Wesh enfoiré pourquoi t'insistes, j't'ai déjà dit que je déborde d'inspi
Si je vendais du shit, j'aurais mis la marchandise dans des paquets de chips
J'suis pas dans le game
Enfoiré, j'suis pas dans le game
J'suis pas dans le game
On se voit sur Mars ou Jupiter

[Couplet 1 : Lefa]
J'veux me propulser
Ne mentez pas sur les effets néfastes de trop du succès
Et puis merde au fond c'est que du son
Passe un BIC pas question que j'signe avec du sang
Pou-pousse toi reste dans le décor
Mange-toi les punchlines, re-re-reste dans les cordes
Impossible d'arrêter, j'ai déjà fait fait tant d'effort
J'suis pas dans le game, aurais-je tort ?
Est-ce que tu m'aimerais autant si j't'ai claqué ? (J'suis pas dans le game)
Est-ce que tu sauterais pour moi si j't'ai plaqué ? (J'suis pas dans le game)
Est-ce que tu m'aurais soutenu jusqu'au parquet ? (J'suis pas dans le game)
Et si ce texte j'l'avais jamais gratté ? Et si j'avais jamais rappé ?
You might also like[Refrain : Maître Gims]
Je n'aurai jamais la force d'un X-Men, donc je sors des mixtapes
J'suis ce gosse en manque d'affection qu'on voit souvent dans les films de science-fiction
We-We-Wesh enfoiré pourquoi t'insistes, j't'ai déjà dit que je déborde d'inspi
Si je vendais du shit, j'aurais mis la marchandise dans des paquets de chips
J'suis pas dans le game
Enfoiré, j'suis pas dans le game
J'suis pas dans le game
On se voit sur Mars ou Jupiter

[Couplet 2 : Dr. Bériz]
Est-ce que tu me flaires ?
J'tourne autour de l'osmose trop terre à terre
Mais sous ma casquette j'ai le cosmos, côtoie la gifle qui n'a pas de main
Mets pas tes seufs sur le magma
4 du mat, j'commence, fonce prendre l'air, passe le mic et j'installe ma sphère
Boosté par la puissance WA, c'est un délit d'science, il faut l'voir sur scène
Rien d'autre que l'illicite, j'plains ceux que le 36 cerne et...
J'plains ceux que le 666 charme et puis percute un d'plein fouet
Pas l'temps, j'guette le monde les autres me prennent pour un Shakespeare fonce-dé
L'arbitre est d'mon coté, j'baise le game sans meme le toucher
Louché, coup d'pioche de boucher
Passe un coup d'fil en 2-4-6 le ceau-mor est bouclé

[Refrain : Maître Gims]
Je n'aurai jamais la force d'un X-Men, donc je sors des mixtapes
J'suis ce gosse en manque d'affection qu'on voit souvent dans les films de science-fiction
We-We-Wesh enfoiré pourquoi t'insistes, j't'ai déjà dit que je déborde d'inspi
Si je vendais du shit, j'aurais mis la marchandise dans des paquets d'chips
J'suis pas dans le game
Enfoiré, j'suis pas dans le game
J'suis pas dans le game
On se voit sur Mars ou Jupiter
[Couplet 3 : Black M]
Oui je sais, j'suis incompris, excusez-moi très chers Français
Mais fuck le rêve Américain, laisse moi mon cauchemar Africain
Laissez moi dans mes galères, j'suis bien tant qu'il y a ma famille
Oui, je ne joue pas, j'suis pas dans l'game, akhi, j'ai d'autres soucis
Et si... un beau jour tu ne me vois plus dans le son
C'est que je ne l'ai plus dans le coeur, ouais ce n'est pas plus mal dans le fond
(Et si...) j'étais dans l'game sans me rendre compte
Peu importe j'vais en rendre des comptes, mais ce n'est pas le thème, bandes de cons
De toute façon je n'ai plus de force, avec vous c'est la même chose
Même si je viens j'kick One shot, sale, vous allez dire : ""C'est la même daube""
Venez pas me parler de hip-hop, pé-ra depuis l'époque du Beat box
Ils s'branlent sur les soi-disant ""Big Boss"", dédicace à mon ga-va Big Tox

[Refrain : Maître Gims]
Je n'aurai jamais la force d'un X-Men, donc je sors des mixtapes
J'suis ce gosse en manque d'affection qu'on voit souvent dans les films de science-fiction
We-We-Wesh enfoiré pourquoi t'insistes, j't'ai déjà dit que je déborde d'inspi
Si je vendais du shit, j'aurais mis la marchandise dans des paquets d'chips
J'suis pas dans le game
Enfoiré, j'suis pas dans le game
J'suis pas dans le game
On se voit sur Mars ou Jupiter

[Outro : Lefa]
Si j'avais la patate d'un X-Men, est-ce que mes sons feraient l'même effet ?
Qu'est-ce que j'ferais sur scène ? Jamais j'le saurai
J'suis pas dans le game, j'suis dans le... (Wa wa wa, wa wa wa)
D.R.Y. est dans le... (Wa wa wa, wa wa wa)
H Magnum est dans le... (Wa wa wa, wa wa wa)
L'Institut est dans le... (Wa wa wa, wa wa wa)
Yeah, L.I.O est dans le... (Wa wa wa, wa wa wa)
Ha ! Harouna est dans le... (Wa wa wa, wa wa wa)
HCue est dans le... (Wa wa wa, wa wa wa)
Wati Boss (Wa wa wa, wa wa wa)
Welcome to the... (Wa wa wa, wa wa wa)
Wa wa wa, wa wa wa...2Embed"
Dr. Bériz,Laisse tomber,"23 ContributorsLaisse tomber Lyrics[Paroles de ""Laisse tomber"" ft. Insolent & Dr Bériz]

[Couplet 1 : Insolent]
Le cœur dans la main, j'avance à découvert
Aucun diplôme, j'suis l'singe avec des couverts
J'marche sur des bouts d'verres, le bonheur est éphémère
Tu peux te faire refiler l'sida par une infirmière
J'crache ma vérité, à force d'les regarder
J'me demande si la vie on l'a mérité
C'est ça applaudissez, on finira tous sous terre
Plus ridés qu'Johnny Hallyday
Cramés, j'crois qu'il est l'heure de jeter les dés
D'ravaler sa langue et assumer en silence cet été
Tu connais ma ville : on se baratine
À part le dîn, ma génération n'est qu'une parodie

[Refrain : Dr. Bériz & Maître Gims]
Ils me parlent, mais j'suis ailleurs loin d'ce Monde où rien ne reste
Laisse tomber, laisse tomber
Ils prennent l'amour pour du fire, persuadés que rien ne presse
Laisse tomber, laisse tomber
Pleins phares sur le périph', trop tard dans la nuit
J'ai déjà fui
Pleins phares sur le périph', trop tard dans la nuit
J'ai déjà fui
You might also like[Couplet 2 : Dr. Bériz]
Est-ce que tu sais qu'les gens te tournent autour quand tu sens l'oseille ?
Tu leur parles, ils sourient pensant fort : ""Vivement que ça paye""
Est-ce moi ou ce billet d'500 dollars qui t'apaise ?
Question bête et réponse idiote : j'en vaux pas la peine
Est-ce que tu sais qu'dehors c'est gore ?
