Artist,Title,Lyrics
Tsew The Kid,⁰ Outro,"5 Contributors⁰ Outro Lyrics[Paroles de ""⁰ Outro""]

[Couplet unique]
Tout à commencé dans la solitude. On s'en fout des autres quand on est heureux seul. Donc, au début, la solitude, on l'apprécie, puis, au fur et à mesure, on s'en lasse. Et l'envie de goûter ou re-goûter à l'amour, ""Fitia"" en malgache, devient suffisamment forte pour qu'on y cède. C'est alors que je me suis attaché à quelqu'un. J'ai toujours tout ressenti en musique, et la femme que j'aimais, était unе belle mélodie. Si tu m'dеmandes de choisir entre être aveugle ou sourd, j'te répondrais, aveugle sans hésiter : un monde sans musique, c'est inimaginable pour moi parce que la musique ne m'a jamais déçu. Au contraire, elle a toujours su me stimuler, rendu créatif ou me donner de sales idées aussi. ""Dis-moi c'que tu n'aimes pas chez autrui, j'te dirais qui tu es"", c'est une phrase qui a longtemps raisonnée dans ma tête quand ma relation amoureuse s'est finie. ""Fa manina"", ça veut dire ""Qu'est-ce qui n'va pas ?"" en malgache, car ouais, beaucoup d'choses n'allaient plus à c'moment-là dans ma vie et j'avais besoin de me recentrer sur moi-même. Maman m'a dit de toujours pardonner ou de demander pardon, sorry. Même si je suis saoulé ou que j'le fais de façon maladroite. C'est quand j'ai réalisé que j'ne ressentais plus rien, qu'il n'y avait plus d'amour à se donner, que j'ai compris que l'bonheur était en moi et pas ailleurs. J'me suis alors accordé un temps pour ma musique, un temps pour recommencer à être heureux et un temps pour ceux que j'ai envie de voir marcher avec moi au quotidien. J'les compte sur les doigts d'la main et ils le savent. Ne m'laissez pas tomber, vous sublimez ma vie et la rendez beaucoup plus agréable. Aujourd'hui, j'me rends compte qu'avec les énergies négatives que je transforme positivement, il est possible de construire de grandes choses. À tous ceux qui m'écoutent, nos âmes se mélangent un peu plus à chaque mélodie que vous retenez de moi. C'est ma façon d'ouvrir mon cœur, et essayer d'toucher le vôtre. Et si vous aussi à votre tour, vous donnez un sens à votre vie, à quoi ressemblerait-elle ? AYNA.You might also likeEmbed"
Tsew The Kid,¹⁰ Saoulé,"7 Contributors¹⁰ Saoulé Lyrics[Parole ""Saoulé"" de Tsew The Kid]

[Intro : Tag]
Broky Flacko dame un beso

[Refrain]
Y'a des jours où j'suis saoulé, c'est noir et je casse tout
J'ai besoin d'être tout seul et donc j'vous ignore tous
C'est pas la peine de me demander ce que j'ai
De toute façon j'ai des ailes pour m'éloigner de la Terre (Yeah)

[Couplet 1]
J'ai plus la tête à me regarder dans la glace
Constater mes cernes et soigner ce qui ne va pas
Et je sais que le problème vient de moi
J'ai le cœur noyer sous l'eau
Si j'suis déçu de quelqu'un c'est parce que je m'y attache trop
J'ai des attentes, quelle erreur
Ca me fait tellement mal comme si on me torturait de l'intérieur
C'est comme ça que je créé de la haine pour les personnes que j'aime
Mon bonheur je le partagerais le jour où je serai heureux seul

[Couplet 2]
Pourquoi j'me prends la tête
Demain je serais plus là
J'essaie d'être amoureux sans trop attendre de toi
Pareil pour mes amis, pareil pour mes ennemis
J'vous souhaite la santé et de vivre votre meilleure vie (Yeah)
You might also like[Refrain]
Y'a des jours où j'suis saoulé, c'est noir et je casse tout
J'ai besoin d'être tout seul et donc j'vous ignore tous
C'est pas la peine de me demander ce que j'ai
De toute façon j'ai des ailes pour m'éloigner de la Terre (Yeah)
Y'a des jours où j'suis saoulé, c'est noir et je casse tout
J'ai besoin d'être tout seul et donc j'vous ignore tous
C'est pas la peine de me demander ce que j'ai
De toute façon j'ai des ailes pour m'éloigner de la Terre

[Outro]
Hou, m'éloigner de la Terre
Pour m'éloigner de la Terre
Pour m'éloigner de la Terre
Façon à quoi bon se prendre la tête pour les gens
Parfois c'est bien de souffler
Juste se concentrer sur soi
Apprendre à être heureux
Et le meilleur est à venirEmbed"
Tsew The Kid,¹¹ Maladroit,"9 Contributors¹¹ Maladroit Lyrics[Paroles de ""Maladroit"" ft. Lefa]

[Couplet 1 : Tsew The Kid]
J'ai toujours le smile mais j'ressens la douleur de tous ces gens autour de moi (autour de moi)
Juste un regard et je me demande : ""Pourquoi c'est noir ?""
Pourquoi j'ai mal ? Pourquoi t'es là ? Entends-tu ma voix ?""
Moi, j'entends la tienne, et j'vois ton visage se décomposer devant ton miroir
Mes parents m'ont porté en prière, maman, j'suis ému, j'te vois si fière
Le chemin est dur, est en pierre, mais j'suis mieux qu'avant, j'suis mieux qu'hier (parfait)
Mais pardonnez-moi si je fais du mal sans le voir
J'ai moins d'amis, j'l'ai pressenti, j'ai peu d'attache et ça me va (mmh)

[Refrain : Lefa & Tsew The Kid]
Maladroit (maladroit, maladroit), quand les mots vont plus loin que les pensées (ah)
Dans le noir (dans le noir), du mal à voir (mal à voir) la bombe à désamorcer
Maladroit (maladroit, maladroit), ça fait plus mal quand c'est la chair (chair) mes êtres chers (chers)
Et ça fait plus de blessures à panser
Ils m'ont trop fait de phases (phases) qu'ils auraient pas fait de face (non)
C'est dans l'dos qui m'shootent (shootent), ils rêvent de ma chute (chute)
Ils m'ont trop fait de phases (phases) qu'ils auraient pas fait de face (non)
C'est dans l'dos qui m'shootent (shootent), ils rêvent de ma chute (chute)

[Couplet 2 : Lefa]
J'suis pas d'humeur, épargne-moi l'discours carriériste, parasite (parasite)
J'tiens plus les murs (nan), j'ai déjà mangé ma ration d'pain rassis (pain rassis)
Du poids sur (poids sur) les épaules, j'ai dû renforcer mes dorsaux (dorsaux)
Angoissé (angoissé), faut qu'je reste un modèle aux yeux de mon garçon (garçon)
J'ai du mal à canaliser ma colère, Seigneur, pardonne-moi, grands péchés, je commets
Un cœur malade, c'est difficile à reconnaître, un cœur brisé, c'est difficile à recoller
Pendant qu'le temps passe comme une comète, les erreurs du passé, j'essaye d'les gommer
Blessé, tu m'verras pas souvent rigoler, mais t'sais qu'dans l'fond, j'suis pas mauvais si tu m'connais
You might also like[Refrain : Lefa & Tsew The Kid]
Maladroit (maladroit, maladroit), quand les mots vont plus loin que les pensées (ah)
Dans le noir (dans le noir), du mal à voir (mal à voir) la bombe à désamorcer
Maladroit (maladroit, maladroit), ça fait plus mal quand c'est la chair (chair) mes êtres chers (chers)
Et ça fait plus de blessures à panser
Ils m'ont trop fait de phases (phases) qu'ils auraient pas fait de face (non)
C'est dans l'dos qui m'shootent (shootent), ils rêvent de ma chute (chute)
Ils m'ont trop fait de phases (phases) qu'ils auraient pas fait de face (non)
C'est dans l'dos qui m'shootent (shootent), ils rêvent de ma chute (chute)1Embed"
Tsew The Kid,¹² Plus rien,"6 Contributors¹² Plus rien Lyrics[Paroles de ""¹² Plus rien""]

[Couplet 1]
J'la voyais fumer sur le lit blanc, eh
La fumée sortait de ses lèvres comme un nuage plein de grêle
Mais j'essayais pas d'être distant, eh
Ça m'intriguait de voir en elle en lui demandant c'est quoi ses rêves
Elle m'disait qu'elle en avait pas, que l'avenir, elle s'en foutait
Qu'elle était bien maintenant, dans le noir avec moi
Elle m'donnait un écouteur, on oubliait tout autour et c'était bien mieux comme ça

[Pré-refrain]
Oh, oh, les moments, les souvenirs, les choses simples, ça me manque
Je me sentais même vivre de temps en temps

[Refrain]
C'est dur de l'enlever de ma tête
Vu qu'j'l'ai associé à mes rêves, woh oh
J'en vois pas d'autres dans le secteur, eh
Ça sert à quoi ? C'est plus la mienne, woh oh
Vu qu'il ne reste rien, ouh, ouh, ouh, ouh, eh
T'façon, y a plus rien, ouh, ouh, ouh, ouh, ouh, ouh
J'ressens plus rien

[Couplet 2]
J’imagine, solo en train d’penser noir
Elle imagine une autre dans mes bras
Facile de dire, je vais bien, je vais bien, je vais bien
Si elle m’appelle tard le soir yeah, je répondrai
J’m'attends à rien, j’ai plus d'espoir, j’suis silencieux
J’ai mon travail et tous mes gars ouais
Ceux qui m’aiment, qui me font zapper mes peines
Qui me font zapper la haine
You might also like[Pré-refrain]
Oh, oh, les moments, les souvenirs, les choses simples, ça me manque
Je me sentais même vivre de temps en temps

[Refrain]
C'est dur de l'enlever de ma tête
Vu qu'j'l'ai associé à mes rêves, woh oh
J'en vois pas d'autres dans le secteur, eh
Ça sert à quoi ? C'est plus la mienne, woh oh
Vu qu'il ne reste rien, ouh, ouh, ouh, ouh, eh
T'façon, y a plus rien, ouh, ouh, ouh, ouh, ouh, ouh
J'ressens plus rienEmbed"
Tsew The Kid,¹³ Plus d’amour à te donner,"6 Contributors¹³ Plus d’amour à te donner Lyrics[Paroles de ""¹³ Plus d'amour à te donner""]

[Couplet 1]
Mes yeux sont noirs même en face de la lumière
Peut-être que toi, tu pourrais les faire briller, eh
C'est ma seule prière, yeah eh eh
Les journées froides devraient cesser d'exister
Depuis qu'le soleil a balayé l'hiver, eh
Ça devrait être mieux qu'hier, eh
Mais j'ai du mal avec les sentiments
Même si je te recouvre de beaux compliments
Oh, tout est fade en moi
Même si tu danses nue devant moi, hmm
Mon sourire disparaît lentement
Mais j'ai trop saigné en m'acharnant à aimer une autre
Qui m'a connue avant toi

[Refrain]
J'ai plus d'amour à te donner, eh
J'ai plus d'amour à te donner, eh
J'ai plus d'amour à te donner, à te donner
Mais t'en veux encore, encore, encore
J'ai plus d'amour à te donner, eh
J'ai plus d'amour à te donner, eh
J'ai plus d'amour à te donner, à te donner
Mais tu m'aimes encore, encore, encore
Yeah
You might also like[Couplet 2]
Pour l'instant, ne m'appelle plus
Vaut mieux prendre nos distances
Et ne perds pas ton temps à lire dans mes pensées si noires
Ne me dis pas que j'te mentais
J'essayais juste de faire le max, pas d'être parfait
Car je suis loin d'être le meilleur, j'accumule les frayeurs
À cœur ouvert, je me noie dans cette liqueur
Je les vois tes sentiments
Mais ton amour ne m'affecte pas
Car j'ai trop saigné à aimer une autre avant toi ahhh

[Outro]
J'ai plus d'amour à te donner, eh
J'ai plus d'amour à te donner, nah
J'ai plus d'amour à te donner, à te donner
Mais t'en veux encore, encore, encore
J'ai plus d'amour à te donner, eh
J'ai plus d'amour à te donner eeeeh yeah
J'ai plus d'amour à te donner
Mais tu m'aimes encore encore, encoreEmbed"
Tsew The Kid,¹⁴ Ailleurs,"4 Contributors¹⁴ Ailleurs Lyrics[Paroles de ""¹⁴ Ailleurs""]

[Intro]
Oh, ouh, oh, ouh, oh, ouh
Oh, ouh, oh, ouh, oh, ouh
Oh, ouh, oh, ouh, oh, ouh

[Couplet 1]
Des milliards de scénarios dans ma tête
J'imagine un autre dans ta couette, yeah, yeah
C'est pas si facile quand t'es dans mes rêves
Et ça me hante chaque soir, mes démons veulent danser

[Pré-refrain]
Si j'te dis qu'j'suis perdu sans toi, ok
J'te laisserai sûrement l'avantage, c'est vrai
L'amour m'a rendu si aveugle, tu sais
Pourtant, je l'ai vu quand ton regard s'est mis à changer

[Refrain]
J'ai besoin d'être ailleurs, oh, oh, ailleurs
J'ai besoin d'être aillеurs, oh, oh, ailleurs
J'ai besoin d'être aillеurs, oh, oh, ailleurs
Mais près de toi, toi, toi

[Couplet 2]
On fonce dans le vide sans tourner la page, yeah, yeah
Y a tellement de filles qui voudraient mon âme
Pendant que t'attires tous ces chiens d'la casse, j'suis seul
Là, je fais mon deuil, impossible de te remplacer
You might also like[Pré-refrain]
Si j'te dis qu'j'suis perdu sans toi, ok
J'te laisserai sûrement l'avantage, c'est vrai
L'amour m'a rendu si aveugle, tu sais
Pourtant, je l'ai vu quand ton regard s'est mis à changer

[Refrain]
J'ai besoin d'être ailleurs, oh, oh, ailleurs
J'ai besoin d'être ailleurs, oh, oh, ailleurs
J'ai besoin d'être ailleurs, oh, oh, ailleurs
Mais près de toi, toi, toi

[Pont]
Mon remède c'est de vivre sans penser à la suite de l'histoire

[Outro]
J'ai besoin d'être ailleurs, oh, oh, ailleurs
Besoin d'être ailleurs, ouh, ouh
J'ai besoin d'être ailleurs, oh, oh, ailleurs
Yeah, yeah, yeah, yeah
J'ai besoin de temps, oh ouais, le temps
Mmh, ouais, du temps, mmh, yeah
J'peux pas faire semblant, mmh, semblant
Mmh, ouais, ouais
J'ai besoin de temps, oh ouais, le temps
Mmh, ouais, du temps, mmh, yeah
Je fais pas semblant, mmh, semblant
OhEmbed"
Tsew The Kid,¹⁵ Un temps pour,"5 Contributors¹⁵ Un temps pour Lyrics[Paroles de ""¹⁵ Un temps pour""]

[Couplet 1]
Toi et moi, on s'déteste, toi et moi, on s'aime trop
Quand l'amour est haine, on apprécie pas les blèmes-pro
Sur les bords de Marne, on résout nos drames
Quand t'es au bord des larmes, je t'ouvre grand mes bras, ouais
Un petit peu de tise, une soirée à deux
C'est mieux d'combler le vide que de finir malheureux
Pourtant, y en a qui aiment ça, je ne les comprends pas
À part êtrе heureux, j'ai pas de but dans ma viе gars
J'ai grandi lentement, parfois, j'en ai souffert
Mais j'ai fait les bons choix même quand c'était dur à faire
J'mets ma pierre à l'édifice et si faut prendre des risques
Je les prendrai, oh, je les prendrai pour toi et moi

[Refrain]
Tu crois pas qu'on a assez souffert comme ça ? Ah
Il y a un temps pour donner, un temps pour perdre
Un temps pour réparer les erreurs qu'on a faites
Tu crois pas qu'on a assez souffert comme ça ? Ah
Il y a un temps pour donner, un temps pour perdre
Un temps pour réparer les erreurs qu'on a faites ensemble

[Couplet 2]
Aimer dans le vide, c'est mort, blesser mon âme-sœur, c'est mort
Se tirer dessus, c'est non, et s'ignorer des heures, c'est non
Mais se tenir la main, c'est oui, quand il faut l'attendre, j'suis là
Dans les bons comme dans les mauvais moments, ah, yah
You might also like[Refrain]
Tu crois pas qu'on a assez souffert comme ça ? Ah
Il y a un temps pour donner, un temps pour perdre
Un temps pour réparer les erreurs qu'on a faites
Tu crois pas qu'on a assez souffert comme ça ? Ah
Il y a un temps pour donner, un temps pour perdre
Un temps pour réparer les erreurs qu'on a faites ensembleEmbed"
Tsew The Kid,¹⁶ Me laissez pas tomber,"4 Contributors¹⁶ Me laissez pas tomber Lyrics[Paroles de ""¹⁶ Me laissez pas tomber""]

[Pré-refrain]
Que du love, que du love, que du love
C'est c'que maman m'a dit de faire
Si j'te manque, si j'te manque, si j'te manque
Appelle-moi et on se voit dans l'heure
Parle-moi de belles choses, pas de choses inutiles
Parle-moi d'tes problèmes, nan, y a rien de futile
On est toujours dans le même bateau
Les yeux rivés vеrs le même Eldorado

[Refrain]
Me laissеz pas tomber
Car tous les soirs, j'en ai marre d’être seul
Me laissez pas tomber (me laissez pas tomber)
Même si j'fais genre que j'suis bien mieux seul
On se sait gars (ouh, ouh, ouh, ouh)
Même si on s'égare (ouh, ouh, ouh, ouh)
On se sait gars (ouh, ouh, ouh, ouh)
Oui, les gars sont aveugles, yeah

[Couplet 1]
J'peux que compter sur ceux qui m'ont vu dans le mal
Dieu bénisse tous les gens qui m'aident à marcher droit
Quand j'suis mauvais, y a toujours quelqu'un pour m'reprendre
J'en ai croisé des gens mais très peu dans votre genre
You might also like[Pré-refrain]
Que du love, que du love, que du love
C'est c'que maman m'a dit de faire
Si j'te manque, si j'te manque, si j'te manque
Appelle-moi et on se voit dans l'heure
Parle-moi de belles choses, pas de choses inutiles
Parle-moi d'tes problèmes, nan, y a rien de futile
On est toujours dans le même bateau
Les yeux rivés vers le même Eldorado

[Refrain]
Me laissez pas tomber
Car tous les soirs, j'en ai marre d’être seul
Me laissez pas tomber (me laissez pas tomber)
Même si j'fais genre que j'suis bien mieux seul
On se sait gars (ouh, ouh, ouh, ouh)
Même si on s'égare (ouh, ouh, ouh, ouh)
On se sait gars (ouh, ouh, ouh, ouh)
Oui, les gars sont aveugles, yeah

[Couplet 2]
Et parlez-moi de sale, yeah, yeah
Parlons même de nos peurs, han
Moi, j'ai pas honte de me confier
Parce que sur vous, je peux compter
Mmh, yeah, parlons même de love, yeah
Posé la nuit au bord de la mer
Du temps, on en a un peu à perdre
Autant le passer ensemble en fin d'soirée, yeah
[Pré-refrain]
Que du love, que du love, que du love
C'est c'que maman m'a dit de faire
Si j'te manque, si j'te manque, si j'te manque
Appelle-moi et on se voit dans l'heure
Parle-moi de belles choses, pas de choses inutiles
Parle-moi d'tes problèmes, nan, y a rien de futile
On est toujours dans le même bateau
Les yeux rivés vers le même Eldorado

[Refrain]
Me laissez pas tomber
Car tous les soirs, j'en ai marre d’être seul
Me laissez pas tomber (me laissez pas tomber)
Même si j'fais genre que j'suis bien mieux seul
On se sait gars (ouh, ouh, ouh, ouh)
Même si on s'égare (ouh, ouh, ouh, ouh)
On se sait gars (ouh, ouh, ouh, ouh)
Me laissez pas tomber
Car tous les soirs, j'en ai marre d’être seul
Me laissez pas tomber (me laissez pas tomber)
Même si j'fais genre que j'suis bien mieux seul
On se sait gars (ouh, ouh, ouh, ouh)
Même si on s'égare (ouh, ouh, ouh, ouh)
On se sait gars (ouh, ouh, ouh, ouh)
Oui, les gars sont aveugles, yeahEmbed"
Tsew The Kid,¹⁷ Nos âmes se mélangent,"8 Contributors¹⁷ Nos âmes se mélangent Lyrics[Paroles ""Nos âmes se mélangent""]

[Couplet 1]
Pourquoi la vie est belle ? Pourquoi la vie est moche ?
Pourquoi les étoiles ne s'alignent pas même quand je les touche ?
Pourquoi mes peines sont noires ? Que mon bonheur est rose ?
Les épreuves et les fautes ont fait de moi un nouvel homme
Les sentiments j'en ai ouais, je les partage tous les jours même
Le temps je peux pas l'arrêter donc je contemple la moindre seconde
Des âmes j'en ai même croisé, devenu ami avec
Et c'est plus rare mais certaines âmes m'ont donné envie d'être aimé
On a vécu ensemble, on s'est croisé quelque part
Si on a fait de la route à deux c'est qu'on devait se voir
On a traversé des époques, on a traversé des vallées
Passant du rires aux larmes, ma joie aux colères

[Refrain]
Nos âmes se mélangent, nos âmes se mélangent
J'suis pressé d'vous revoir ici ou bien dans un autre monde
Nos âmes se mélangent, nos âmes se mélangent
Je remercie la vie d'avoir mis ces gens sur mon chemin
Nos âmes se mélangent, nos âmes se mélangent
J'suis pressé d'vous revoir ici ou bien dans un autre monde
Nos âmes se mélangent, nos âmes se mélangent
Je remercie la vie d'avoir mis ces gens sur mon chemin
You might also like[Instrumental]

[Refrain]
Nos âmes se mélangent, nos âmes se mélangent
J'suis pressé d'vous revoir ici ou bien dans un autre monde
Nos âmes se mélangent, nos âmes se mélangent
Je remercie la vie d'avoir mis ces gens sur mon chemin
Nos âmes se mélangent, nos âmes se mélangent
J'suis pressé d'vous revoir ici ou bien dans un autre monde
Nos âmes se mélangent, nos âmes se mélangent
Je remercie la vie d'avoir mis ces gens sur mon cheminEmbed"
Tsew The Kid,¹ Solitude,"11 Contributors¹ Solitude Lyrics[Paroles de ""Solitude""]

Partie 1

[Couplet 1]
Au final, c'est seul que j'ai pu délivrer le meilleur de moi-même
Quand tout est calme et que les gens dorment, je pense tellement de différentes manières
Je pense à ma vie, à plein de choses, au moi d'avant, aux épines roses
De tous ces gens, j'en ai eu ma dose, ils ont pas compris qu'j'étais solitairе, yeah
Solitaire, solitaire, j'avancе tout droit comme un militaire
J'aime le champ d'bataille même si j'm'y perds
J'suis toujours effronté même si j'ai peur
Qu'est-c'que j'men branle d'être plein aux as, je forge mon mental quand j'suis plein d'audace
La vie m'emmènera la où j'dois être, j'suis plus serein qu'avant, je maîtrise mieux ma tête, eh

[Pont]
Maman m'appelle et me demande : « Est-c'que tu fumes ? Est-c'que tu bois ? Est-c'que t'es bien ? Est-c'que t'es toi ? »
Maman m'appelle et me demande : « Est-c'que tu fumes ? Est-c'que tu bois ? Parfois tu ressembles à Papa », ehh yeah

[Refrain]
Laissez-moi, laissez-moi, laissez-moi le temps de vivre
Laissez-moi, laissez-moi, parfois quand tout va trop vite, quand tout va trop vite
La vie j'la kiffe plus, j'fais tout par habitude
Laissez-moi, laissez-moi, laissez-moi le temps de vivre
Laissez-moi, laissez-moi, parfois quand tout va trop vite, quand tout va trop vite
Quand la vie j'la kiffe plus, j'retrouve ma solitude yeah
Ma solitude
You might also likePartie 2

[Couplet 1]
Les gens sont mauvais, les gens se ressemblent mais j'suis pas mieux qu'eux
Quand mon heure va sonner, moi j'serai prêt, peut-être même heureux, eh
Y a rien d'bizarre, sur mon visage, tu peux lire cicatrices bien encrées dans sourire noir, hey
Trop de souvenirs qui m'restent en tête
J'ai été souvent déchanté, si je me vois, j'en ai pas l'air
Les gens retiennent que ma gentillesse, et c'est bien mieux comme ça, hey
J'ai été un connard, parfois je le suis encore mais t'as pas besoin d'le savoir, han-han-han-han

[Refrain]
J'ai plus grand chose à perdre, plus rien ne me fait peur sur l'autoroute de l'enfer
J'la prends à deux cents à l'heure, deux cents à l'heure chaque soir eh-yeah, eh-yeah, oh-ouais
J'ai plus grand chose à perdre, plus rien ne me fait peur sur l'autoroute de l'enfer
J'la prends à deux cents à l'heure, deux cents à l'heure chaque soir eh-yeah, eh-yeah, oh-ouais

[Couplet 2]
Parfois le temps m'fait mal, il m'faut un instant pour m'calmer
Pour m'rappeler d'où je viens, qui je suis, qui j'veux être, qui sont les miens?
Et si je perds tout, qu'est-c'que j'vais devenir demain ?
Doucement, j'écris des textes sur tout c'que j'ai sur le cœur
Pas faire d'impasse sur mes peurs et sur les épreuves, les erreurs
La famille, j'la fais monter, on se checkera au sommet
Et demain je ne craindrai plus les autres
Bye, bye, bye, bye
[Refrain]
J'ai plus grand chose à perdre, plus rien ne me fait peur sur l'autoroute de l'enfer
J'la prends à deux cents à l'heure, deux cents à l'heure chaque soir eh-yeah, eh-yeah, oh-ouais
J'ai plus grands chose à perdre, plus rien ne me fait peur sur l'autoroute de l'enfer
J'la prends à deux cents à l'heure, deux cents à l'heure chaque soir eh-yeah, eh-yeah, oh-ouaisEmbed"
