Artist,Title,Lyrics
Darryl Zeuja,100%,"2 Contributors100% Lyrics[Couplet 1]
Depuis depuis le début et ça fait 10 ans
Je peux pas renier mes premiers pas hésitants
C'est passé vite sans être évi-évident
C'est ça la vie quand on est vivant à 100%
Même galérien j'ai jamais jamais rien lâché
Malgré les regrets et tous les tes-traî bien cachés
J'ai plus le temps pour les gens, les gens indécis
Les grands imbéciles, je m'investis à 100%
À 100% et je sais pas faire autrement
Te fais pas avoir par la gloire que les autres vendent
Pendant pendant qu'ils te racontent de vraies histoires
Je te raconte des histoires vraies à 100%
Inven-inventées par la vie et pas par la drogue
Bien planqué, tard la nuit, je parle à la prod
De tout, de tous ces plans que je dois réaliser
Trouve-moi une banque à dévaliser à 100%

[Refrain 1]
À 100%
On est vivant à 100%
On est vivant à 100%
On investit à 100%
On investit à 100%
Des histoires vraies à 100%
Des histoires vraies à 100%
Dévaliser à 100%, dévaliser
100%, 100%, 100%
Encore à 100%
100%, 100%, 100%
Toujours à 100%
You might also like[Couplet 2]
Jusqu'à jusqu'à l'infini, si ça existe encore
Je prends le risque et je m'en sors sans leurs disques en or
On tient le coup, on tient, on tient debout
Souviens-toi bien que tout ça vient de nous à 100%
C'est pour c'est pour le meilleur et pour le pire
Certains le font pour le faire, d'autres pour le dire
Je le, je le prends sereinement
Je fais ce que je dis et je le pense vraiment à 100%
À 100% et pour moi c'est le minimum
Sinon tu finis comme ces minis hommes qui mitonnent
J'avais j'avais des amis, la vie a fait le tri
Elle m'a appris à payer le prix à 100%
Alors me parle pas si rien, si rien t'appartient
Mais si tu as un style bien à part, viens
C'est beaucoup de détours et de jours sans blé
Il suffit pas de nous ressembler à 100%

[Refrain 2]
À 100%
Ça vient de nous à 100%
Ça vient de nous à 100%
Penser vraiment à 100%
Penser vraiment à 100%
Payer le prix à 100%
Payer le prix à 100%
Nous ressembler à 100%, nous ressembler
100%, 100%, 100%
Encore à 100%
100%, 100%, 100%
Toujours à 100%
[Pont]
Œil pour œil, dent pour dent
Deuil pour deuil, sang pour sang
Œil pour œil, dent pour dent
Deuil pour deuil, toujours à 100%
100%, 100%, 100%
Encore à 100%
100%, 100%, 100%
Toujours à 100%
100%, 100%, 100%
Encore à 100%
100%, 100%, 100%
Toujours à 100%

[Outro]
Ugly & Durty à 100%
Darryl Zeuja à 100%
Juxebox à 100%
Nakatomi Plaza toujours à 100%
Ugly & Durty à 100%
Darryl Zeuja à 100%
Isma et Vaati à 100%
Jihelcee Records toujours à 100%Embed"
Darryl Zeuja,16h du matin,"4 Contributors16h du matin Lyrics[Paroles de : ""16h du matin""]

[Couplet 1]
Je suis désolé si on avait rendez-vous
La beuh m'a rendu con, le son m'a rendu fou
Je vide ma vessie puis je fais la vaisselle
J'ai passé la soirée et la nuit avec elle
Elle est partie en cours, et j'en voulais encore
Elle était à la bourre, elle était pas d'accord
Je me suis rendormi, elle était sous la douche
J'ai évité un dernier bisou sur la bouche

[Pré-refrain]
Je roule un joint dе beuh, dès que je mе réveille
Et je finis ce que j'ai commencé la veille
Je roule un joint de beuh, dès que je me réveille
Et je finis ce que j'ai commencé la veille

[Refrain]
À 16h du matin, à 16h du matin
Je me réveille avec un joint à 16h du matin
À 16h du matin, à 16h du matin
Je me réveille avec un joint à 16h du matin

[Couplet 2]
Je suis désolé si on avait rendez-vous
La beuh m'a rendu con, le son m'a rendu fou
Je vide ma vessie puis je fais la vaisselle
Demain c'est mercredi, j'ai sorti les poubelles
Je n'ai plus rien à faire, alors je fais un tour
Je passe dans le four, juste pour dire bonjour
On est posés au stade, on est posés au stud
Et comme d'habitude, ici c'est Paris Sud
You might also like[Pré-refrain]
Je roule un joint de beuh, dès que je me réveille
Et je finis ce que j'ai commencé la veille
Je roule un joint de beuh, dès que je me réveille
Et je finis ce que j'ai commencé la veille

[Refrain]
À 16h du matin, à 16h du matin
Je me réveille avec un joint à 16h du matin
À 16h du matin, à 16h du matin
Je me réveille avec un joint à 16h du matinEmbed"
Darryl Zeuja,Après Minuit,"3 ContributorsAprès Minuit Lyrics[Paroles de ""Après minuit""]

[Couplet 1]
On est l'un contre l'autre, comme dans un duel
Je sais qu'elle aime bien, quand ça devient cruel
On se mange, on se mort, on mélange nos corps
Chaque fois qu'on se venge, on en demande encore
Je lui tire les cheveux et puis c'est reparti
Dis lui ce que tu veux, elle a la répartie
On s'est presque agressé, après c'est encore pire
Mais on est pas pressé, pas près de s'endormir

[Refrain]
Après minuit, après minuit
On s'était donné rendez-vous après minuit
Après minuit, après minuit
On l'a fait comme dans les films après minuit

[Pont]
Ce jeu est dangereux, mais on le connait bien
Quand on est tous les deux, on est bon comédiens
Ce jeu est dangereux, mais on le connait bien
Quand on est tous les deux, on est bon comédiens

[Couplet 2]
On a rien à cacher, on s'est déjà fâchés
Mais quand on se retrouve, on est comme attachés
Prisonniers l'un de l'autre, et c'est chacun son tour
Alors je prends mon temps, j'apprends tous ses contours
Ce dont elle n'est pas fière : gravé dans ma mémoire
Elle éteint la lumière, mais je vois dans le noir
Jusqu'au lever du jour, nos vêtements par terre
Car on se fait l'amour, comme on se fait la guerre
You might also like[Refrain]
Après minuit, après minuit
On s'était donné rendez-vous après minuit
Après minuit, après minuit
On l'a fait comme dans les films après minuit

[Outro]
Ce jeu est dangereux, mais on le connait bien
Quand on est tous les deux, on est bon comédiens
Ce jeu est dangereux, mais on le connait bien
Quand on est tous les deux, on est bon comédiens
Ce jeu est dangereux, mais on le connait bien
Quand on est tous les deux, on est bon comédiens
Ce jeu est dangereux, mais on le connait bien
Quand on est tous les deux, on est bon comédiensEmbed"
Darryl Zeuja,Au Secours,"4 ContributorsAu Secours Lyrics[Paroles de ""Au secours""]

[Couplet 1]
Petit, je n'ai rien vu de la vie, alors j'ai cru ce que tu m'as dit
Depuis je me suis fait mon avis, j'ai vu la mort et la maladie
J'ai vu mon grand-père qu'on enterre, j'ai vu ma grand-mère à l'hôpital
J'ai vu mon père avec le cancer et j'espère qu'il ne va pas si mal
J'irai le voir un peu cet été quand mon EP sera terminé
En indé', c'est comme un CDD mais à durée indéterminée
Et j'en ai vu plein baisser les bras ou qui ne pensaient qu'à célébrer
La nuit, les ennuis, et cætera, de mon côté, j'ai accéléré

[Refrain]
J'ai dû taffer tous les soirs, j'ai dû taffer tous les jours
Je suis venu pour te voir et tu fais le sourd quand je t'appelle au secours
J'ai dû taffer tous les soirs, j'ai dû taffer tous les jours
Je suis venu pour te voir et tu fais le sourd quand je t'appelle au secours
Quand je t'appelle au secours, quand je t'appelle au secours
Quand je t'appelle au secours, tout-tout en haut de ma tour
Quand je t'appelle au secours, quand je t'appelle au secours
Quand je t'appelle au secours, tout-tout en haut de ma tour

[Couplet 2]
J'ai vu les hommes et les animaux, c'était pas un dessin animé
La terre était le jardin d'Eden qu'on a fini par contaminer
La vérité, c'est pas beau à voir, j'aurai préféré fermer les yeux
Et rester enfermé dans le noir, depuis j'ai du mal à croire en Dieu
Depuis j'ai du mal à croire en moi, depuis j'ai du mal à croire en nous
Depuis j'ai du mal à croire en toi, depuis j'ai du mal à croire en tout
Depuis j'ai compris qu'on était seul et que c'était chacun pour sa gueule
J'écris des chansons, je vends des rimes et j'en ai plein pour ceux qui en veulent
You might also like[Refrain]
J'ai dû taffer tous les soirs, j'ai dû taffer tous les jours
Je suis venu pour te voir et tu fais le sourd quand je t'appelle au secours
J'ai dû taffer tous les soirs, j'ai dû taffer tous les jours
Je suis venu pour te voir et tu fais le sourd quand je t'appelle au secours
Quand je t'appelle au secours, quand je t'appelle au secours
Quand je t'appelle au secours, tout-tout en haut de ma tour
Quand je t'appelle au secours, quand je t'appelle au secours
Quand je t'appelle au secours, tout-tout en haut de ma tour

[Pont]
Instrumental

[Outro]
J'ai dû taffer tous les soirs, j'ai dû taffer tous les jours
Je suis venu pour te voir et tu fais le sourd quand je t'appelle au secours
J'ai dû taffer tous les soirs, j'ai dû taffer tous les jours
Je suis venu pour te voir et tu fais le sourd quand je t'appelle au secoursEmbed"
Darryl Zeuja,Braquer La Banque,"6 ContributorsBraquer La Banque Lyrics[Paroles de ""Braquer la banque""]

[Couplet 1]
J'ai beaucoup donné et maintenant, je vais prendre
Tu me reconnais et je renais de mes cendres
J'étudie et toi ? Ah, tu dis n'importe quoi
Tu as tort si tu te crois plus fort que moi
Tu n'as pas compris que j'avais d'autres plans
Et que je n'étais pas juste un autre blanc
Tu n'as pas compris que j'avais tout prévu
Et que la nuit, je rêvais d'aujourd'hui depuis le tout début

[Refrain]
J'ai pris mon temps pour fabriquer un tank
Plus rien ne manque, on va braquer la banque
J'ai pris mon temps pour fabriquer un tank
Plus rien ne manque, on va braquer la banque
Braquer la banque, on va braquer la banque
Prendre le cash et puis le cacher dans la planque
Braquer la banque, on va braquer la banque
Prendre le cash et puis le cacher dans la planque

[Couplet 2]
C'est Darryl Zeuja à Jihelcee Productions
Faut faire attention quand on passe à l'action
Tout ce qu'on a fait et ce n'est pas dans la Bible
Rien n'est impossible et tu connais la cible
C'est pour ceux qui savent et pour ceux qui en parlent
Pour ceux qui bicravent jusque dans la cave
Ceux qui m'ont déjà dépanné un bédo
Ceux qui se lèvent tôt et qui n'ont jamais volé un euro
You might also like[Refrain]
J'ai pris mon temps pour fabriquer un tank
Plus rien ne manque, on va braquer la banque
J'ai pris mon temps pour fabriquer un tank
Plus rien ne manque, on va braquer la banque
Braquer la banque, on va braquer la banque
Prendre le cash et puis le cacher dans la planque
Braquer la banque, on va braquer la banque
Prendre le cash et puis le cacher dans la planque

[Outro]
Plus rien ne manque, on va braquer la banque
Plus rien ne manque, on va braquer la banque
Plus rien ne manque, on va braquer la banque
Plus rien ne manque, on va braquer la banque
Plus rien ne manque, on va braquer la banque
Plus rien ne manque, on va braquer la banque
Plus rien ne manque, on va braquer la banque
Plus rien ne manque, on va braquer la banqueEmbed"
Darryl Zeuja,Chacun Pour Soi,"3 ContributorsChacun Pour Soi Lyrics[Paroles de ""Chacun pour soi""]

[Refrain]
J'ai fait tout ça pour qui, j'ai fait tout ça pour quoi
J'ai fait tout ça pour nous, mais c'est n'importe quoi
J'ai fait tout ça pour qui, j'ai fait tout ça pour quoi
J'ai fait tout ça pour nous, mais c'est chacun pour soi

[Couplet 1]
C'est chacun pour sa peau, c'est chacun pour sa part
Je fais la course à pied, je fais la course à part
Ne me mélange aps, ne me dérange aps
Quand je dors, quand je mange, ou alors quand je rappe
J'ai des crocs acérés, je repars à zéro
Il n'est jamais trop tard, et ce n'est pas trop tôt
J'arrive à mille à l'heure, toute la ville à peur
J'ai pas d'amis rappeurs, que des admirateurs

[Refrain]
J'ai fait tout ça pour qui, j'ai fait tout ça pour quoi
J'ai fait tout ça pour nous, mais c'est n'importe quoi
J'ai fait tout ça pour qui, j'ai fait tout ça pour quoi
J'ai fait tout ça pour nous, mais c'est chacun pour soi
Mais c'est chacun pour soi, mais c'est chacun pour soi
J'ai fait tout ça pour toi, mais c'est chacun pour soi
Mais c'est chacun pour soi, mais c'est chacun pour soi
J'ai fait tout ça pour toi, mais c'est chacun pour soi
You might also like[Couplet 2]
J'ai tenté ma chance et tu connais la chanson
Avec mes associés, on a fait l'ascension
J'emmerde les menteurs, prie pour que je m'en tire
Prie pour ceux qui m'entourent, et pour tout mon empire
Là-bas c'est Paris Nord, ici c'est Paris Sud
J'aurai dû faire du sport ou alors des études
Tu m'entends chantonner, j'écris des chansonnettes
Pour tous les gens paumés, pour tous les gens honnêtes

[Refrain]
J'ai fait tout ça pour qui, j'ai fait tout ça pour quoi
J'ai fait tout ça pour nous, mais c'est n'importe quoi
J'ai fait tout ça pour qui, j'ai fait tout ça pour quoi
J'ai fait tout ça pour nous, mais c'est chacun pour soi
Mais c'est chacun pour soi, mais c'est chacun pour soi
J'ai fait tout ça pour toi, mais c'est chacun pour soi
Mais c'est chacun pour soi, mais c'est chacun pour soi
J'ai fait tout ça pour toi, mais c'est chacun pour soiEmbed"
Darryl Zeuja,Comme d’Habitude,"5 ContributorsComme d’Habitude Lyrics[Paroles de ""Comme d'habitude""]

[Couplet 1]
J'écris des raps, c'est de la frappe
Que tous les rapaces et les rats passent à la trappe
Si je t'attrape, ça part en couilles
J'ai pas la trouille, j'ai pris un schlass en cas d'embrouille
Je fais du son, tu fais du bruit
Je vis ma vie au jour le jour comme aujourd'hui
Je marche seul, pense à ma gueule
Pense à Martin, pense à Malcolm, pense à Michael

[Pré-refrain]
Paris Sud attitude comme d'habitude
Paris Sud attitude comme d'habitude
Dans la rue, dans le stud', j'ai fait mes études
Paris Sud attitude comme d'habitude

[Refrain]
Comme d'habitude, comme d'habitude
Comme d'habitude, comme d'habitude
Comme d'habitude, comme d'habitude
Comme d'habitude, comme d'habitude

[Pont]
Ici, c'est Paris Sud et on a l'habitude
Quand on est au stud', on fait tourner les nudes
Ici, c'est Paris Sud et on a l'habitude
Quand on est au stud', on fait tourner les nudes
You might also like[Couplet 2]
Je viens de rien, reviens de loin
Darryl Zeuja, c'est mon ze-bla, retiens le bien
Y a trop de cons, de trous du culs
Qui font du déjà-vu, du déjà-entendu
J'écris toujours avec amour
Toujours précis quand je décris les alentours
Tu reconnais bien Paris Sud
C'est de là que nous vient la beuh et l'attitude

[Pré-refrain]
Paris Sud attitude comme d'habitude
Paris Sud attitude comme d'habitude
Dans la rue, dans le stud', j'ai fait mes études
Paris Sud attitude comme d'habitude

[Refrain]
Comme d'habitude, comme d'habitude
Comme d'habitude, comme d'habitude
Comme d'habitude, comme d'habitude
Comme d'habitude, comme d'habitude

[Outro]
Ici, c'est Paris Sud et on a l'habitude
Quand on est au stud', on fait tourner les nudes
Ici, c'est Paris Sud et on a l'habitude
Quand on est au stud', on fait tourner les nudesEmbed"
Darryl Zeuja,Dans La Lune,"5 ContributorsDans La Lune Lyrics[Paroles de ""Dans La Lune""]

[Couplet 1]
Je me souviens de mon premier jour d'école
J'étais dans la cour avec la coupe au bol
Je ne savais pas qu'on allait m'enfermer
Encore moins à quel point j'allais m'emmerder
J'ai passé des années derrière mon pupitre
À regarder la vie à travers la vitre
Je rêvais de passer de l'autre côté
Mais j'avais l'impression d'être menotté

[Pré-refrain]
Mes parents me disaient : ""Fais-toi tout petit
Apprends tes leçons et fais ce qu'on te dit
Tu verras plus tard, tu nous remercieras""
Désolé mais je ne vous remercie pas

[Refrain]
Dans la Lune, j'suis toujours dans la Lune
Et depuis tout petit, je suis dans la Lune
Dans la Lune, j'ai fait le tour de la Lune
Car depuis tout petit, je suis dans la Lune
Dans la Lune, j'suis toujours dans la Lune
Et depuis tout petit, je suis dans la Lune
Dans la Lune, j'ai fait le tour de la Lune
Car depuis tout petit, je suis dans la Lune
You might also like[Couplet 2]
Je me souviens de mon premier jour de cours
J'étais dans la cour avec les cheveux courts
J'avais mon sac-à-dos et mon baladeur
Et les professeurs m'appelaient ""le rappeur""
J'ai passé des années assis à ma place
À regarder la vie et le temps qui passe
Je n'étais pas doué pour jouer au foot
J'avais tout à prouver, j'ai trouvé ma route

[Pré-refrain]
Mes parents me disaient : ""Fais-toi tout petit
Apprends tes leçons et fais ce qu'on te dit
Tu verras plus tard, tu nous remercieras""
Désolé mais je ne vous remercie pas
Mes parents me disaient : ""Fais-toi tout petit
Apprends tes leçons et fais ce qu'on te dit
Tu verras plus tard, tu nous remercieras""
Désolé mais je ne vous remercie pas

[Pont]
Je suis dans la Lune, je suis dans la Lune
Toujours dans la Lune, toujours dans la Lune

[Refrain]
Dans la Lune, j'suis toujours dans la Lune
Et depuis tout petit, je suis dans la Lune
Dans la Lune, j'ai fait le tour de la Lune
Car depuis tout petit, je suis dans la Lune
Dans la Lune, j'suis toujours dans la Lune
Et depuis tout petit, je suis dans la Lune
Dans la Lune, j'ai fait le tour de la Lune
Car depuis tout petit, je suis dans la LuneEmbed"
Darryl Zeuja,Dans le club,"4 ContributorsDans le club Lyrics[Paroles de ""Dans le club""]

[Couplet 1]
Tu peux nous voir le soir fumer des joints en ville
On a besoin de rien à part d'un coin tranquille
Et quand tu crois qu'on rêve en fait on parle affaires
On a la tête en l'air et les deux pieds sur terre
Il faut qu'on sorte, peu importe la raison
Le son à fond et on est comme à la maison
On tise, on fume, on fait des bêtises, on assume
On ne voit pas plus loin que les joints qu'on allume

[Pont]
On a de la beuh, on a de la peuf
J'appеlle des meufs, ils appеllent les keufs
On a de la beuh, on a de la peuf
J'appelle des meufs, ils appellent les keufs

[Pré-refrain]
Tu es le bienvenue dans le club, dans le club
Si tu ne rentres pas dans le club, dans le club
Tu es le bienvenue dans le club, dans le club
Si tu ne rentres pas dans le club, dans le club

[Refrain]
On est dans l'appart, on est dans la partie
On est dans le parc, on est dans le parking
On est dans l'appart, on est dans la partie
On est dans le parc, on est dans le parking
You might also like[Couplet 2]
À la vie à la mort, c'est pour les gars d'abord
C'est pour mes garde-fous et mes gardes du corps
On est encore dehors, on rit, on parle fort
Et quand on parle sport, on est jamais d'accord
C'est chacun son équipe et si t'es dans la mienne
Tu peux compter sur moi, et ce quoi qu'il advienne
Posé avec les miens, on est jamais en chien
Et c'est chacun le sien, et c'est chacun la sienne

[Pont]
On a de la beuh, on a de la peuf
J'appelle des meufs, ils appellent les keufs
On a de la beuh, on a de la peuf
J'appelle des meufs, ils appellent les keufs

[Pré-refrain]
Tu es le bienvenue dans le club, dans le club
Si tu ne rentres pas dans le club, dans le club
Tu es le bienvenue dans le club, dans le club
Si tu ne rentres pas dans le club, dans le club

[Refrain]
On est dans l'appart, on est dans la partie
On est dans le parc, on est dans le parking
On est dans l'appart, on est dans la partie
On est dans le parc, on est dans le parkingEmbed"
Darryl Zeuja,Dans Les Vapes,"4 ContributorsDans Les Vapes Lyrics[Paroles de ""Dans les vapes""]

[Couplet 1]
Je me suis acheté de quoi être bien (être bien)
Je sais que pour toi ce n'est peut être rien (rien)
Moi, j’ai besoin de ça pour rester tranquille (tranquille)
Bientôt trente ans et j'en ai marre d'être en ville (ville)
Juste un peu d’herbe et puis tout est beaucoup mieux (beaucoup mieux)
Je suis en vie et j'emmerde les envieux (les envieux)
Tant pis pour toi si tu n'es pas dans mon coin (dans mon coin)
Je roule un joint et celui la, j'en prends soin

[Refrain]
Dans les vapes, dans les vapes
Dans les vapes, dans les vapes
J'en achète en sachets, j'en achète en plaquettes
J'en achète en cachets, j'en achète en cachette
J’en achète en sachets, j’en achète en plaquettes
J'en achète en cachets, j’en achète en cachette

[Couplet 2]
J'ai commencé quand je travaillais la nuit (nuit)
Et je ne me suis plus arrêté depuis (depuis)
Quand je veux oublier ce que j'ai à faire (a faire)
Que ça pue la de-mer et que c'est la guerre (guerre)
J’en ai jamais assez, j'en ai jamais trop (jamais trop)
Quand je t'entends parler de moi dans mon dos (dans mon dos)
Tant pis pour toi si tu n'es pas dans mon coin (dans mon coin)
Je roule un joint et celui la, j'en prends soin
(Heyy)
You might also like[Refrain]
Dans les vapes, dans les vapes
Dans les vapes, dans les vapes
J'en achète en sachets, j'en achète en plaquettes
J'en achète en cachets, j'en achète en cachette
J'en achète en sachets, j'en achète en plaquettes
J'en achète en cachets, j'en achète en cachette

[Outro]
Ehe ehe ehe ehe
Ehe ehe ehe ehe
Ehe ehe ehe ehe ehe ehe ehe ehe ehe
Ehe ehe ehe ehe
Ehe ehe ehe ehe
Ehe ehe ehe ehe ehe ehe ehe ehe eheEmbed"
