Artist,Title,Lyrics
Hamza Al Farissi,$$$*,"1 Contributor$$$* Lyrics[Paroles issues d'un extrait]

[Paroles de ""$$$*""]

Okay, kay
Que l’temps que je respire, aucun ne t’aimeras plus que moi
Le jour où j’te désire plus n’existe pas, n’existe pas
J’ai les yeux sur ton visage, yah
J’m’approche de ton corps pendant tu wines, yah
J’avoue j’ai du mal à rester sage, yah
Okay, kay
Aucune d’entre elles ce soir ne m’impressionne, non personne
Tu fais ça comme (?)You might also likeEmbed"
Hamza Al Farissi,1994,"26 Contributors1994 Lyrics[Paroles de ""1994""]

[Couplet 1]
Je m'rappelle quand c'était fucked up
J'vivais la misère au jour le jour
J'écris ma peine dans un bloc-notes
J'voyais ma daronne à cours de sous
Quand personne avait confiance en moi
Tout est plus beau quand j'suis hors de moi
Contrôle de police à chaque soir, pas loin d'l'enfer sur le boulevard
Devant le bloc avec MK, violent la société m'aime pas
2017 j'suis le même gars, beaucoup de haine mais ça m'touche pas
Déçu des gens j'ai fait l'plein d'foi
Quand tous ces rêves étaient loin de moi
J'faisais du sale j'avais pas l'choix, depuis j'les reconnais même pas
Y'avait qu'ma mère et ma conscience pour m'consoler quand j'étais seul
J'les ai toutes baisées, depuis j'ai compris qu'c'était tout ce qu'elles veulent
Premier sold-out j'les vois tous autour, j'serai sûrement tout seul au bout du gouffre
Tout c'que j'ai pu donner sans retour, Dieu merci maintenant c'est loin de nous, loin de nous

[Refrain]
J'voulais juste un peu d'amour
Le ciel se rapproche de nous
Je m'souviens de tous ces jours
Dieu merci c'est loin de nous
J'voulais juste un peu d'amour
Le ciel se rapproche de nous
Je m'souviens de tous ces jours
Dieu merci c'est loin de nous
You might also like[Couplet 2]
Yeah, yeah, le ciel est proche babe
Tu peux tout perdre en deux minutes
Leur haine est forte mais heureusement qu'l'argent nous stimule
Bien trop profond pour qu'elle simule, beaucoup de faux individus
Quand y'avait personne pour m'donner de force, personne pour m'ouvrir les portes
Faut plus l'arroser quand la fleur est morte, maintenant tu sais qu't'avais tort
Y'avait qu'ma mère et ma conscience pour m'consoler quand j'étais seul
J'les ai toutes baisées depuis j'ai compris qu'c'était tout ce qu'elles veulent

[Pont]
J'ai tout ce qu'elles veulent
Notre amour est mort, j'fais le deuil
J'fais couler ma peine sur une feuille
C'est toujours le diable qui m'accueille, je sais qu'un jour j'finirai seul

[Refrain]
J'voulais juste un peu d'amour
Le ciel se rapproche de nous
Je m'souviens de tous ces jours
Dieu merci c'est loin de nous
J'voulais juste un peu d'amour
Le ciel se rapproche de nous
Je m'souviens de tous ces jours
Dieu merci c'est loin de nous
[Outro]
J'voulais juste un peu d'amour
Je m'souviens de tous ces jours
J'voulais juste un peu d'amour
Dieu merci c'est loin de nous5Embed"
Hamza Al Farissi,2015*,"4 Contributors2015* Lyrics[Paroles de ""2015*""]

[Refrain]
J'me sens comme SauceGod en 2015 bien avant H-24
Tes rappeurs ne sont même pas encore arrivés mais parlent de comeback
Elle m'a dit bébé, si tu veux me baiser faut payer ma khapta
Tard la noche, la noche, la noche, je compte le plata
J'm'enferme, j'prends sur moi
Tout le gang compte sur moi
J'ai perdu mon coeur en chemin
Train de vie tout est noir
J'm'enferme, j'prеnds sur moi
Tout le gang compte sur moi
J'ai perdu mon coеur en chemin
Train de vie tout est noir

[Couplet unique]
Ennemi,Ennemi d'État
J'la prends en doggy,elle est
Yeah yeah,Elle est dans tous ses états
Après,j'la régale (après j'la régale)
Mouah, tchoin décale
Mouah, tchoin décale
J'suis cramé chez Louis
J'suis cramé comme sale fils de pute de keuf qui est pourri
Mon télephone sonne fort fort après minuit
Ouais, ouais, ouais, ouais, ouais, ouais
You might also like[Refrain]
J'me sens comme SauceGod en 2015 bien avant H-24
Tes rappeurs ne sont même pas encore arrivés mais parlent de comeback
Elle m'a dit ""bébé, si tu veux me baiser faut payer ma khapta""
Tard la noche, la noche, la noche, je compte le plata
J'm'enferme, j'prends sur moi
Tout le gang compte sur moi
J'ai perdu mon coeur en chemin
Train de vie tout est noir
J'm'enferme, j'prends sur moi
Tout le gang compte sur moi
J'ai perdu mon coeur en chemin
Train de vie tout est noir

[Outro]
Yeah yeah, (Bobox City)
Og, yeah, yeah, yeah, yeah, yeah
S/o mon gars G.2.B, tu connais ça flingue
Toutes les bitches savent qui j'suis, toutes les bitches savent c'que j'fais
Big Ponk, woah
Tu connais, woah
Oue, hanEmbed"
Hamza Al Farissi,45,"10 Contributors45 Lyrics[Refrain]
Chargeur plein, serein, je vise l'ennemi
Et dans les faits divers y'a comme un froid de Sibérie
Entre la rue et moi y'a comme une sorte de synergie
Chargeur plein, serein, je vise l'ennemi
45 te réservera le sort, 45 leur réservera le sort
45 te réservera le sort, 45 leur réservera le sort

[Couplet 1]
Fais quelque chose si tu veux aich sur le boulevard
Mes chiens ont la dalle et wAllah c'est bien d'leur faute
Hors de question, je ne ferai pas comme les autres
C'est chaud dans le tieks et wAllah c'est bien d'leur faute
Jamais je n'pourrais trahir le bloc
Loin du cœur et toujours près du glock
J'n'ai pas un dollar à donner à ces bitch
J'ai toujours un sentiment qu'j'en ai pas assez pris
Impossible de dormir en paix sur mes billets de 100
Les paroles s'envolent quand les Smith & Wesson les devancent
La police est encore en train d'décortiquer le plan
Il ne restera que mon putain d'reflet dans le sang

[Refrain]
Chargeur plein, serein, je vise l'ennemi
Et dans les faits divers y'a comme un froid de Sibérie
Entre la rue et moi y'a comme une sorte de synergie
Chargeur plein, serein, je vise l'ennemi
45 te réservera le sort, 45 leur réservera le sort
45 te réservera le sort, 45 leur réservera le sort
You might also like[Couplet 2]
Dès qu'on pull up dans la pièce j'entends signal de détresse
Tu fais le youv' mais j'ai un doute, [XXX] la dure et la douce
Ma pute c'est un aspirateur de coco'
Elle veut un string un peau de croco'
45 est dans la boîte à gants
Va t'faire enculer ou parle nous argent
A l'aube j'irai enterrer le corps
Investir avec l'argent qui dort
Jamais je n'pourrais trahir le bloc
Loin du cœur et toujours près du glock
Mes pétasses se font la soufflette
J'ai de l'or plein ma gourmette
Traîne avec des négros pas nets
Du genre à emmerder toute la planète
Pute tout entier, j'suis vrai de vrai
Tu veux la guerre, la guerre me plaît
Si j'dois shooter, j'le fais, j'le fais
Lui transpercer l'cervelet de près

[Refrain]
Chargeur plein, serein, je vise l'ennemi
Et dans les faits divers y'a comme un froid de Sibérie
Entre la rue et moi y'a comme une sorte de synergie
Chargeur plein, serein, je vise l'ennemi
45 te réservera le sort, 45 leur réservera le sort
45 te réservera le sort, 45 leur réservera le sortEmbed"
Hamza Al Farissi,50x,"34 Contributors50x Lyrics[Paroles de ""50x""]

[Refrain]
Yo, tout c'que j'fais, c'est drip, orage sur le flow
J'peux le voir sur ta bitch qu'elle veut m'sucer slow
Personne quand t'es down, down, tout l'monde quand tu blow
Money veille sur ma clique, police sur mon dos
Tout c'que j'fais, c'est drip, orage sur le flow
J'peux le voir sur ta bitch qu'elle veut m'sucer slow
Personne quand t'es down, down, tout l'monde quand tu blow
Money veille sur ma clique, police sur mon dos

[Couplet 1]
Yo, le sac plein de monnaie dans la gova maint'nant
Fuck eux car c'est tous des fils de putes à plein temps
Drip drop comme ma nouvelle paire de shoes est clinquante
Ta bitch si je voulais j'pourrais m'la faire cinquante fois
Yo, beaucoup de rage en toi
Tu sais qu'je viens d'en bas, j'combat le diable en moi
Yo, j'passe a la télé, yeah yeah
Je la fuck comme un fêlé, yeah
Je la fuck sans la payer, yeah

[Refrain]
Yo, tout c'que j'fais, c'est drip, orage sur le flow
J'peux le voir sur ta bitch qu'elle veut m'sucer slow
Personne quand t'es down, down, tout l'monde quand tu blow
Money veille sur ma clique, police sur mon dos
Tout c'que j'fais, c'est drip, orage sur le flow
J'peux le voir sur ta bitch qu'elle veut m'sucer slow
Personne quand t'es down, down, tout l'monde quand tu blow
Money veille sur ma clique, police sur mon dos
You might also like[Couplet 2]
C'est tout pour la monnaie, c'est tout c'que je sais, elle fait la tchoin car j'suis frais pour de vrai
J'sais d'où je viens, je sais où je vais, quoi que je fasse, je n'ai aucun regret
J'pourrais la baiser au premier essai, elles ne me font même plus aucun effet
Après la balle, t'es entouré de craie, négro j'les baise et c'est pas un secret
Elle me rend dingue mais cette bitch me plait, j'suis dans la merde si les flics me serrent
J'suis dans l'piège, et j'suis plus que def', on se connaissait bien mais c'est plus c'que c'est
Y'a pas de show si j'ai pas ma paye, nigga, j'la fuck et je bois ma 'teille
Tu fais le thug mais t'es même pas gang, j'l'ai connue le jour et le soir, j'la ken

[Refrain]
Yo, tout c'que j'fais, c'est drip, orage sur le flow
J'peux le voir sur ta bitch qu'elle veut m'sucer slow
Personne quand t'es down, down, tout l'monde quand tu blow
Money veille sur ma clique, police sur mon dos
Tout c'que j'fais, c'est drip, orage sur le flow
J'peux le voir sur ta bitch qu'elle veut m'sucer slow
Personne quand t'es down, down, tout l'monde quand tu blow
Money veille sur ma clique, police sur mon dos, yo1Embed"
Hamza Al Farissi,Addiction,"33 ContributorsAddiction Lyrics[Paroles de ""Addiction""]

[Intro]
Yeah, yeah, yah, yah, yah, yah

[Couplet 1]
Pussy j'veux l'assassiner comme John Lennon
J'me ressers un verre et j'roule un Godzilla
Briller dans le sky comme la Proxima
C'est la loi d'la jungle, appelle-moi Gorilla
Gros nuage de fumée dans la Benz
Dans l'club avec deux modèles
Okay, ta chick danse toute seule, elle me repère (yeah)
J'ai toujours un semi auto proche babe
Je n'vois plus rien d'autre à part ton corps, baby
J't'offre un verre avec moi au bar, baby
Dis-moi pourquoi t'es toute seule ce soir, baby
J'ai des diamants on my neck, on vient seulement pour les gros chèques, oh yeah
Okay, ta chick danse toute seule, elle me re-check (yeah)
Mamì, ouvre cette porte j't'en prie, qu'on en parle autour d'un Hennessy

[Refrain]
J'peux lire dans tes yeux, baby, yo
On f'ra c'que tu veux, où tu veux, baby, yeah
Sur ma rollie j'vois le time
Juste un dernier verre de sky, tu peux rester près de moi, yeah yeah
Tout est meilleur quand t'es là, même si ça me ressemble pas, j'ai une addiction à toi, yeah yeah
J'te veux pour moi toute la nuit, tous ces diamants sur moi brillent
Vraiment beaucoup moins que toi, yeah, yeah
Juste un dernier verre de sky, tu peux rester près de moi
J'ai une addiction à toi, yeah, yeah
You might also like[Couplet 2]
Touchdown, L.A j'fume la sativa
Quand j'suis dans sa teu-ch', c'est assassinat
Même quand j'suis sur BX, j'ai d'la bonne hiya
Bébé, j'aimerais savoir si t'as bonne niya
Tic-tac, tic-tac, plus l'temps passe, plus j'me sens high, plus j'me sens high
Maintenant, descends un peu baby et regarde-moi en criant ""Saucegod"", en criant ""Saucegod""
Tic-tac, tic-tac, plus l'temps passe, plus j'me sens high, plus j'me sens high
Maintenant, remonte un peu bébé et regarde-moi en criant, hmm, hmm
Mami, ouvre cette porte j't'en prie, on en parle autour d'un Hennessy

[Refrain]
J'peux lire dans tes yeux, baby, yo
On f'ra c'que tu veux, où tu veux, baby, yeah
Sur ma rollie j'vois le time
Juste un dernier verre de sky, tu peux rester près de moi, yeah yeah
Tout est meilleur quand t'es la, même si ça me ressemble pas, j'ai une addiction à toi, yeah, yeah
J'te veux pour moi toute la nuit, tous ces diamants sur moi brillent
Vraiment beaucoup moins que toi, yeah, yeah
Juste un dernier verre de sky, tu peux rester près de moi
J'ai une addiction à toi, yeah, yeah
J'peux lire dans tes yeux, baby, yo
On f'ra c'que tu veux, où tu veux, baby, yeah
Sur ma rollie j'vois le time
Juste un dernier verre de sky, tu peux rester près de moi, yeah yeah
Tout est meilleur quand t'es la, même si ça me ressemble pas, j'ai une addiction à toi, yeah, yeah
J'te veux pour moi toute la nuit, tous ces diamants sur moi brillent
Vraiment beaucoup moins que toi, yeah, yeah
Juste un dernier verre de sky, tu peux rester près de moi
J'ai une addiction à toi, yeah, yeah
[Outro]
J'ai une addiction à toi
J'ai une addiction à toi1Embed"
Hamza Al Farissi,AK-47,"5 ContributorsAK-47 Lyrics[Refrain]
Ces négros veulent ma peau, oh, oh
AK-47 au chaud, oh, oh
Mon négro, on est armés
Ces bitches savent bien qu'ça l'fait
Ces négros veulent ma peau
AK-47 au chaud, oh, oh
Mon négro, on est armés
Ces bitches savent bien qu'ça l'fait

[Couplet 1]
Broliqué où je vais, négro, j'ai trop d'ennemis
On s'parle de millions d'bénéf', de drogue,baby
Ces négros veulent me voir tomber mais qu'ils viennent tous [?]
Sors la AK-47, fais les [?] comme MJ
Oh, fais du biff dans ma zone
On vient changer la donne
J'ai des millions d'clients dans l'phone
Oh, on fait chauffer la dope
Ils veulent stopper mon business
J'viendrais leur trouer la peau
Ces négros veulent ma peau, oui ils savent c'que j'vaux
Jfume deux trois rivaux, bitch, on sort du lot
Ces négros veulent ma peau, oui ils savent c'que j'vaux
Jfume deux trois rivaux, bitch, on sort du lot
Broliqué où je vais, négro, j'ai trop d'ennemis
Wallah qu'ils valent walou, qu'ils viennent tous, baby
Ces négros veulent me voir tomber mais qu'ils viennent tous [?]
Sors la AK-47, fais les [?] comme [?]
You might also like[Refrain]
Ces négros veulent ma peau, oh, oh
AK-47 au chaud, oh, oh
Mon négro, on est armés
Ces bitches savent bien qu'ça l'fait
Ces négros veulent ma peau
AK-47 au chaud, oh, oh
Mon négro, on est armés
Ces bitches savent bien qu'ça l'fait
Ces négros veulent ma peau

[Couplet 2]
Sors le Beretta même à poil, baby, j'ai trop d'ennemis
On s'en bat les couilles, on veut la maille, on les baise tous, baby
Fais chauffer les broliques no stress, non on aime pas trop la tendresse
[?] chez les condés, on aime quand le boule est bombé
Waye, j'vois qu'ces négros fly
Doigt sur la gâchette fait en sorte que ces négros die
Waye, j'vois qu'ces négros fly
Doigt sur la gâchette fait en sorte que ces négros die
Oh, j'ai la liste dans l'dos
On les crame dans l'rétro, négro
On fait sauter l'labo
Oh, kilogrammes dans l'réseau
On bicrave 4 saisons, négro
Joue pas l'thug dans l'métro
Sors le Beretta même à poil, négro, j'ai trop d'ennemis
Fais pousser la maille qu'on s'fait la malle, baby, qu'on s'taille, baby
Fais chauffer les broliques no stress, non on aime pas trop la tendresse
[?] chez les condés, on aime quand le boule est bombé
[Refrain]
Ces négros veulent ma peau, oh, oh
AK-47 au chaud, oh, oh
Mon négro, on est armés
Ces bitches savent bien qu'ça l'fait
Ces négros veulent ma peau
AK-47 au chaud, oh, oh
Mon négro, on est armés
Ces bitches savent bien qu'ça l'fait
Ces négros veulent ma peauEmbed"
Hamza Al Farissi,AMG Technology,"18 ContributorsAMG Technology Lyrics[Paroles de ""AMG Technology""]

[Intro]
Ouais, ouais
Ouais, ouais, ouais, ouais
Ok, ok
Gagné

[Couplet 1]
Depuis 2000 sixteen, tu m'connais déjà, Sauce God, bitch, tu connais déjà
Nord, Sud, Est, Ouest, j'connais des gars, 45 AK fait des dégâts
J'suis un big laud-sa de la pire espèce, euros, dollars, livres, espèces
Plein d'cartouches pour fumer c'traître (rrah), j'aime ma kichta, big, épaisse
Fais tourner l'four en mode rotation, billets mauves en lévitation
C'est qu't'as baissé ton caleçon, j'la mets au fond à chaque occasion
J'baise des tchoins de première ligue, nique ta mère et puis on est quitte (wouh)
Ces messiеurs ont l'air louches, vaut mieux en 2-2, on еsquive (ouh)

[Pont]
Ça recule as-p d'vant un gros plavon, pied au plancher, j'pousse à fond (vhh)
Pendant qu'les autres touchent le bas fond, tant qu'ma liasse touche le plafond
Ça recule as-p d'vant un gros plavon, pied au plancher, j'pousse à fond (vhh)
Pendant qu'les autres touchent le bas fond, tant qu'ma liasse touche le plafond

[Refrain]
Crime et sexe, apologie (grr), ok
J'suis dans le AMG Technology avec une tchoin d'anthologie
Crime et sexe, apologie, ok
J'n'ai qu'une seule philosophie : faire des grosses économies (billets)
Crime et sexe, apologie (grr), ok
J'suis dans le AMG Technology avec une tchoin d'anthologie
Crime et sexe, apologie, ok
J'n'ai qu'une seule philosophie : faire des grosses économies (billets)
You might also like[Couplet 2]
La RS rode à fond, le matin, j'me roule une plantation
Bébé, mets-toi à genoux, après ça, j'te ferais une donation (la bitch)
La machine compte à fond, brr, bip, compte à fond
Flamber des sommations, B.O.B.O.X Fondation
Tous les jours, j'me dis : ""Demain, j'arrête"" et devant le canon, c'est des majorettes
Bébé, pour m'trouver, faut un baromètre et l'argent est sale mais jamais malhonnête
J'ai le Sharingan comme Sasuke, t'es une salope, y a même pas de quoi douter
Rien qu'j'fume la hiya qui est pas coupée et si y a un billet, on va pas l'louper (on va pas l'louper)
Full extendo, wow, minimum three bags (three bags), Ski Mask, Hennessy, ivresse
Baby, retourne-toi, tu vas toucher la lune sans vaisseau
Mon seul allié c'est le eleven MAC, dans leurs pesos, grr

[Refrain]
Crime et sexe, apologie (grr), ok
J'suis dans le AMG Technology avec une tchoin d'anthologie
Crime et sexe, apologie, ok
J'n'ai qu'une seule philosophie : faire des grosses économies (billets)
Crime et sexe, apologie (grr), ok
J'suis dans le AMG Technology avec une tchoin d'anthologie
Crime et sexe, apologie, ok
J'n'ai qu'une seule philosophie : faire des grosses économies (billets)Embed"
Hamza Al Farissi,Anh Yeah,"14 ContributorsAnh Yeah Lyrics[Paroles de ""Anh Yeah""]

[Refrain]
Damn, bitch
J'veux une porto-ricaine, j'veux une bad bitch
De loin j'vois qu'ton boule nous vient du Mexique
Mamacita tu sais combien j't'estime, yeah bitch
Anh yeah, si t'enlèves ton soutif' j'irais, anh yeah
J'veux juste me mettre un peu plus  dedans, yeah
L'alcool et la weed, est-ce que tu sens ? Yeah
Anh yeah

[Couplet 1]
Dans ma tête j'suis à Jamaica
Gun dans la face si tu payes pas
J'fais un p'tit jump jusqu'aux Pays-Bas
On prend l'argent puis on speed
Peux mettre ta bitch derrière une vitre
Diamants d'Afrique sont en fleek
J'reste pas 2 mois dans la même chatte
Ecarte et admire le spectacle
Baby j't'invite chez moi pour une escale et mamacita ¿ Cómo está ?
L'argent doit couler à flot
On dit souvent qu'j'en veux trop
O.G kush parce qu'il le faut, O.G kush parce qu'il le faut
O.G kush parce qu'il le faut, O.G kush parce qu'il le faut
O.G kush parce qu'il le faut, O.G kush parce qu'il le faut
O.G kush parce qu'il le faut, O.G kush parce qu'il le faut
O.G kush parce qu'il le faut, O.G kush parce qu'il le faut
O.G kush parce qu'il le faut, O.G kush parce qu'il le faut
You might also like[Refrain]
Damn, bitch
J'veux une porto-ricaine, j'veux une bad bitch
De loin j'vois qu'ton boule nous vient du Mexique
Mamacita tu sais combien j't'estime, yeah bitch
Anh yeah, si t'enlèves ton soutif' j'irais, anh yeah
J'veux juste me mettre un peu plus  dedans, yeah
L'alcool et la weed, est-ce que tu sens ? Yeah
Anh yeah

[Couplet 2]
J'ai besoin d'une bitch qui est souple
La nuit dans ma city je roule
J'ai besoin d'une bitch qui est cool
J'ai besoin d'une bitch qui est cool
L'argent c'est aç que je boule
J'aime les tatoos sur ton booty
J'ai besoin d'une bitch qui est cool
J'ai besoin d'une bitch qui est cool
Babe rejoins-moi dans mon lobby
J'y vais comme si j'étais Tony
Nuit dans le piège c'est la folie
J'arrive fonce-dé dans l'club
Les briques sont à côté du gun
Si j'le fais c'est parce qu'elles le veulent
[Refrain]
Damn, bitch
J'veux une porto-ricaine, j'veux une bad bitch
De loin j'vois qu'ton boule nous vient du Mexique
Mamacita tu sais combien j't'estime, yeah bitch
Anh yeah, si t'enlèves ton soutif' j'irais, anh yeah
J'veux juste me mettre un peu plus  dedans, yeah
L'alcool et la weed, est-ce que tu sens ? Yeah
Anh yeahEmbed"
Hamza Al Farissi,Aquafina,"13 ContributorsAquafina Lyrics[Paroles de ""Aquafina""]

[Intro]
Yeah yeah
Yeah yeah
Yeah yeah
Yeah yeah
Yeah

[Refrain]
Diamant, Aquafina et ma kush sativa, sativa
Bébé, c'est ma chérie, c'est ma one love diva, ma zina
Quand j’suis dans sa pussy, j’y vais comme John Cena, John Cena
Bébé, tu vas planer, t’auras pas besoin de visa, ma diva

[Couplet 1]
Danger quand elle se met à danser
D'entrée, elle me parle de ma monnaie
Mais aucune d'elles ne peut la devancer
Chaque soir, j'arrête pas d'y repenser
Whine up mami, j'ai d'la tequila
Pas d'ein-s mais un boule de latina
C'est ok, j'ai du love stocké
Ne t'en fais pas, reste à mes côtés

[Pont]
Laquelle, d'entre elles, est sincère et m'aime pour moi, pas mon oseille ?
Ok, laquelle d'entre elles que je l'emmène ?
Yeah, yeah yeah
You might also like[Refrain]
Diamant, Aquafina et ma kush sativa, sativa
Bébé, c'est ma chérie, c'est ma one love diva, ma zina
Quand j’suis dans sa pussy, j’y vais comme John Cena, John Cena
Bébé, tu vas planer, t’auras pas besoin de visa, ma diva

[Couplet 2]
C-C j'mets sur son body
Parce que c'est la plus sexy pour son punani
J'ai fumé et j'suis tipsy
Drip, tsunami, oh mamacita please me
Oh baby please me
Motel sex, ça fait ding-dong
Nigga, dans son pussy j'y vais King Kong
Maintenant elle veut fouiller dans mon iPhone
Maintenant elle veut fouiller dans mon iPhone

[Pont]
Laquelle, d'entre elles, est sincère et m'aime pour moi pas mon oseille ?
Ok, laquelle d'entre elles que je l'emmène ?

[Refrain]
Diamant, Aquafina et ma kush sativa, sativa
Bébé, c'est ma chérie, c'est ma one love diva, ma zina
Quand j’suis dans sa pussy, j’y vais comme John Cena, John Cena
Bébé, tu vas planer, t’auras pas besoin de visa, ma diva
[Outro]
Oh no no, oh no no, oh no no no no no no
Oh no no, oh no no, oh no no no no no no
Ma diva
No no, oh no no, oh no no no no no no
Oh no no, oh no no, oh no no no no no noEmbed"
