GeniusName,Title,Lyrics,Artist
DJ Dee Nasty,Je pars,"1 ContributorJe pars LyricsAh yeah
Ah yeah

[Scratches]
""Pour de bon, je pars""
""Je pars""

[Couplet 1]
Vivre dans la honte, dans la peur du lendemain
Dégoûté de vivre et d'exister chaque matin
Vivre avec la folie des idées morbides
Qui me rongent, m'attaquent la tronche, me bouffent le bide
Complètement esseulé, j'me sens triste à dégueuler
Me v'là dans un engrenage que j'ai du mal à arrêter
Personne avec qui partager toutes mes souffrances chroniques
J'dois me battre pour éviter un destin tragique
Je crie, je hurle, déchire le silence
J'suis prisonnier ici, ma voix parcourt des distances
Malgré la misère, la colère passée
Malgré les troubles contre lesquels j'ai dû lutter
Je pense plutôt positif, regarde l'avenir
Même si, comme Sœur Anne, je ne vois rien venir
Peut-être qu'un jour j'verrai le soleil me sourire
Il me donnera la chance d'oublier le pire
J'irai sous les tropiques ou n'importe où ailleurs
Même si le beau temps ne garantit pas le bonheur
Où que je sois sur Terre, j'serai p't-être toujours un crevard
Qui oublie ses cauchemars et rêve qu'il part!
You might also like[Refrain]
Ah yeah!
Je pars!
Ah yeah!
Je pars!
Ah yeah!
Je pars!
Je pars!

[Couplet 2]
Enseveli sous les décombres d'un monde à la dérive
Qui asservit les gens puis après les esquive
Je prends ce qu'on me donne mais on ne me donne rien
Ai-je suffisamment la rage pour me donner les moyens
Il faut vraiment qu'je bouge, la liberté j'en crève
J'peux plus bouger vraiment alors j'bougerai en rêve
Voyager à travers le monde c'est c'que j'aurais voulu
Mais pour s'offrir un voyage certains traversent la rue
Je ne contrôle plus rien même pas mon imagination
En plus, paraît qu'pour fuir il y a des solutions
J'ai trop de spectres enfouis
Qui me démangent jour et nuit
Les démons de la poussière veulent être mes amis
Ils me proposent des rêves en échange de ma vie
Ma vie sur laquelle j'ai jamais eu d'contrôle
Ma vie dans laquelle j'aurai jamais l'beau rôle
Confiance en personne, j'ai perdu la foi
J'porte en moi des remords comme on porte une croix
Me laisse guider par les bas instincts comme les rats
Tous mes réflexes humains sont si loin déjà
Où que je sois sur Terre j'serai p't-être toujours un crevard
Qui oublie ses cauchemars et rêve qu'il part!
[Refrain]
Ah yeah!
Je pars!
(pour de bon je pars)
Ah yeah!
Je pars!
(pour de bon je pars)
Je pars!
Je pars!
(pour de bon je pars)

[Couplet 3]
Après des années d'errance, j'regarde ma vie
Je n'y vois que du sombre, rien de très joli
J'ai voulu m'évader, j'connaissais le prix
Qu'il fallait payer pour le voyage au bout d'la nuit
J'y ai laissé mon âme, mon gent-ar, mes amis
J'ai gagné des regrets mais jamais je n'renie
Que j'suis un drôle d'oiseau, un drôle de zèbre
Qui plus que la lumière, préfère les ténèbres
Puisque la pénombre et les jnouns sont mes partenaires
J'aurais sûrement une XXX pas m'en faire
En attendant, j'me laisse aspirer
Je ferme les yeux, je glisse, j'évite de penser
Si je voyais l'amour, même en rêve
Sûrement, j'affronterai des souffrances sans trêve
Y en a qui font partie de ceux qui toujours se relèvent
Qui luttent même s'ils savent que leur existence sera brève
C'est pour celui qui dit qu'les paroles ressemblent à la brume
Si y en a qui pensent que c'est à titre posthume
Qu'on apparaît sur le vinyle, à la radio, sur une compil'
P't-être qu'en matière de résurrection le démon est habile
En matière d'introspection le diable est un Kabyle
Qui se torture, se morfond, s'fait d'la bile
Qu'a jamais eu d'chaleur, qu'a jamais eu d'espoir
On oublie les cauchemars, on rêve qu'on part!
[Refrain]
Ah yeah!
Je pars!
(pour de bon je pars)
Je pars!
Je pars!
(pour de bon je pars)
Ah yeah!
Ah yeah!

[Outro]
Nique la khala, originale arbya
XXX
(Ah yeah)
Ah yeah
XXX
DJ Dee Nasty
Pour de bon je pars!Embed",Dee Nasty
DJ Dee Nasty,Paname City Rappin,"9 ContributorsPaname City Rappin Lyrics[Intro]
Paname city rappin', c'est le Paname city rap
Paname city rappin', c'est le Paname city rap

[Refrain]
Paname, Paname, ô ville de rêve
Mais tout à Paris n'est pas ce qu'il parait
Tu vas perdre la tête, te retrouver largué
Si tu ne suis pas le tempo de la cité
C'est trop, il y a beaucoup trop de gens
C'est trop
C'est trop, il y a beaucoup trop de gens
C'est trop

[Couplet 1]
Paname City, c'est là où je vis
Et je peux te le dire que je ne connais pas l'ennuie
Qu'il manque seulement du soleil dans ma vie
Que je connais bien les galères et les soucis
Paname City, faut pas te tromper
Faut surtout pas croire que c'est le paradis
Tu vas perdre la tête, te retrouver largué
Si tu ne suis pas le tempo de la cité

[Couplet 2]
Le tempo ici, il est vraiment speedy
Bien sûr beaucoup moins qu'à New-York City
Mais ici aussi, c'est vraiment très funky
Funky situation, c'est notre vie
Au coin des rues, il y a des frenchies zoulous
Et sur le funky zoulou beat on danse comme des fous
Il y a quoi de s'éclater, dans cette grande cité
La grisaille est colorée, la merde oubliée
You might also like[Refrain]
Paname, Paname, ô ville de rêve
Mais tout à Paris n'est pas ce qu'il parait
Tu vas perdre la tête, te retrouver largué
Si tu ne suis pas le tempo de la cité
C'est trop, il y a beaucoup trop de gens
C'est trop
C'est trop, il y a beaucoup trop de gens
C'est trop

[Couplet 3]
Depuis qu'il y a le hip hop, il y a la paix dans ma cité
Il y a presque plus de bastons il y en avait marre de se fritter
Maintenant ce qui est important c'est de savoir danser
De tourner sur la tête, d'être le meilleur à breaker
C'est la seule manière de sortir de sa cage
De maîtriser sa rage, oublier le chômage
Trouver la paix dans la musique même si elle est synthétique
C'est notre seul soutien dans ce monde atomique

[Couplet 4]
Tu n'as plus d'horizon et tu perds tes illusions
Car autour de toi, tu ne vois que du béton
Tu te sens enfermé et tu veux t'échapper
Ce que tu as besoin, c'est ta liberté
Ta liberté de pouvoir t'exprimer
Et aussi celle de ne plus te faire agresser
Papier, Papier, contrôle d'identité
Pour ton look d'immigré, ta façon de penser
[Refrain]
Paname, Paname, ô ville de rêve
Mais tout à Paris n'est pas ce qu'il parait
Tu vas perdre la tête, te retrouver largué
Si tu ne suis pas le tempo de la cité
C'est trop, il y a beaucoup trop de gens
C'est trop
C'est trop, il y a beaucoup trop de gens
C'est trop

[Couplet 5]
Dans mon quartier, il y a de quoi flipper
Ici, ça sent la zone à plein nez
Il y a des dealers partout dans la rue
Celui qui est déjà largué, il n'en peut plus
Te-shi, bedo, tout ce que tu veux
Te shooter dans la rue, ici tu le peux
Un keum qui me dit que je suis en train de zoner
Je n'arrive vraiment plus à assurer
De galère en galère, c'est vraiment re-du
Je suis à côté de mes pompes et j'en sors plus
Le speed, la poudre et les galères
Si je ne fais pas gaffe, je peux directement faire
Ce dont j'ai besoin, c'est de décompresser
Et de quelque chose pour ne plus glander
Heureusement, j'ai ma télé pour me faire enlever
J'y vois ce que la vie devrait être
[Refrain]
Paname, Paname, ô ville de rêve
Mais tout à Paris n'est pas ce qu'il parait
Tu vas perdre la tête, te retrouver largué
Si tu ne suis pas le tempo de la cité

[Couplet 6]
Quand je sors dehors, je suis réconforté
La réalité n'a pas du tout changé
Et la jungle urbaine, la foule de flippés
Dans le métropolitain, tous compressés
Et toutes ces caisses dans la rue, je ne peux plus respirer
Je crois toujours qu'un jour, ça va exploser
Paname city, c'est là où je vis
Et je peux te dire que je ne connais pas l'ennui

[Refrain]
Paname, Paname, ô ville de rêve
Mais tout à Paris n'est pas ce qu'il parait
Tu vas perdre la tête, te retrouver largué
Si tu ne suis pas le tempo de la cité
C'est trop, il y a beaucoup trop de gens
C'est trop
C'est trop, il y a beaucoup trop de gens
C'est trop1Embed",Dee Nasty
DJ Dee Nasty,Pousse Les Bass,1 ContributorPousse Les Bass Lyrics.You might also likeEmbed,Dee Nasty
